Ticket,OrderType,OrderSymbol,OrderLots,OrderOpenTime,OrderOpenPrice,OrderCloseTime,OrderClosePrice,OrderProfitInPips,OrderCommission,OrderSwap,OrderProfit,TradeProfit,OrderMagicNumber,OrderComment,OrderCommentShort
21194,BUY,GOLD,0.01,2023.11.06 01:05,1991.86,2023.11.06 01:42,1988.53,-33.3,0,0,-498,-498,100,100pips_buy_1,10
21195,BUY,GOLD,0.01,2023.11.06 01:05,1991.86,2023.11.06 02:36,1989.45,-24.1,0,0,-360,-360,200,200pips_buy_1,20
21196,BUY,GOLD,0.01,2023.11.06 01:05,1991.86,2023.11.06 02:59,1991.55,-3.1,0,0,-46,-46,400,400pips_buy_1,40
21197,BUY,GOLD,0.01,2023.11.06 01:05,1991.86,2023.11.06 03:30,1992.49,6.3,0,0,94,94,500,500pips_buy_1,50
21198,BUY,GOLD,0.01,2023.11.06 01:05,1991.86,2023.11.06 02:56,1990.43,-14.3,0,0,-214,-214,300,300pips_buy_1,30
21201,SELL,GOLD,0.01,2023.11.06 01:05,1991.35,2023.11.06 01:11,1990.27,10.8,0,0,161,161,100,100pips_sell_1,10
21205,SELL,GOLD,0.01,2023.11.06 01:05,1991.35,2023.11.06 01:12,1989.32,20.3,0,0,303,303,200,200pips_sell_1,20
21206,SELL,GOLD,0.01,2023.11.06 01:05,1991.35,2023.11.06 02:01,1987.35,40,0,0,598,598,400,400pips_sell_1,40
21210,SELL,GOLD,0.01,2023.11.06 01:05,1991.33,2023.11.06 04:54,1987.43,39,0,0,583,583,500,500pips_sell_1,50
21211,SELL,GOLD,0.01,2023.11.06 01:05,1991.33,2023.11.06 01:36,1988.14,31.9,0,0,477,477,300,300pips_sell_1,30
21320,BUY,GOLD,0.02,2023.11.06 01:11,1990.86,2023.11.06 01:42,1988.53,-23.3,0,0,-696,-696,100,100pips_buy_2,10
21321,BUY,GOLD,0.02,2023.11.06 01:11,1990.86,2023.11.06 02:36,1989.45,-14.1,0,0,-422,-422,200,200pips_buy_2,20
21323,BUY,GOLD,0.02,2023.11.06 01:11,1990.86,2023.11.06 02:56,1990.45,-4.1,0,0,-123,-123,300,300pips_buy_2,30
21324,BUY,GOLD,0.02,2023.11.06 01:11,1990.86,2023.11.06 02:59,1991.55,6.9,0,0,206,206,400,400pips_buy_2,40
21326,BUY,GOLD,0.02,2023.11.06 01:11,1990.86,2023.11.06 03:30,1992.49,16.3,0,0,488,488,500,500pips_buy_2,50
21360,SELL,GOLD,0.01,2023.11.06 01:11,1989.69,2023.11.06 01:33,1988.62,10.7,0,0,160,160,100,100pips_sell_1,10
21375,BUY,GOLD,0.03,2023.11.06 01:12,1989.82,2023.11.06 01:42,1988.53,-12.9,0,0,-578,-578,100,100pips_buy_3,10
21376,BUY,GOLD,0.03,2023.11.06 01:12,1989.82,2023.11.06 02:36,1989.42,-4,0,0,-179,-179,200,200pips_buy_3,20
21377,BUY,GOLD,0.03,2023.11.06 01:12,1989.82,2023.11.06 02:56,1990.45,6.3,0,0,283,283,300,300pips_buy_3,30
21378,BUY,GOLD,0.03,2023.11.06 01:12,1989.82,2023.11.06 02:59,1991.55,17.3,0,0,776,776,400,400pips_buy_3,40
21379,BUY,GOLD,0.03,2023.11.06 01:12,1989.82,2023.11.06 03:30,1992.49,26.7,0,0,1198,1198,500,500pips_buy_3,50
21422,SELL,GOLD,0.01,2023.11.06 01:12,1988.95,2023.11.06 04:39,1990.25,-13,0,0,-194,-194,200,200pips_sell_1,20
21579,BUY,GOLD,0.04,2023.11.06 01:33,1988.65,2023.11.06 01:42,1988.49,-1.6,0,0,-96,-96,100,100pips_buy_4,10
21580,BUY,GOLD,0.04,2023.11.06 01:33,1988.62,2023.11.06 02:36,1989.42,8,0,0,479,479,200,200pips_buy_4,20
21581,BUY,GOLD,0.04,2023.11.06 01:33,1988.62,2023.11.06 02:56,1990.45,18.3,0,0,1095,1095,300,300pips_buy_4,30
21583,BUY,GOLD,0.04,2023.11.06 01:33,1988.62,2023.11.06 02:59,1991.55,29.3,0,0,1752,1752,400,400pips_buy_4,40
21584,BUY,GOLD,0.04,2023.11.06 01:33,1988.62,2023.11.06 03:30,1992.49,38.7,0,0,2316,2316,500,500pips_buy_4,50
21590,SELL,GOLD,0.01,2023.11.06 01:33,1988.16,2023.11.06 03:01,1990.27,-21.1,0,0,-316,-316,100,100pips_sell_1,10
21637,SELL,GOLD,0.01,2023.11.06 01:36,1987.57,2023.11.06 04:43,1989.78,-22.1,0,0,-331,-331,300,300pips_sell_1,30
21686,BUY,GOLD,0.05,2023.11.06 01:37,1987.43,2023.11.06 02:36,1989.41,19.8,0,0,1481,1481,200,200pips_buy_5,20
21687,BUY,GOLD,0.05,2023.11.06 01:37,1987.43,2023.11.06 01:42,1988.49,10.6,0,0,792,792,100,100pips_buy_5,10
21688,BUY,GOLD,0.05,2023.11.06 01:37,1987.43,2023.11.06 02:56,1990.45,30.2,0,0,2258,2258,300,300pips_buy_5,30
21690,BUY,GOLD,0.05,2023.11.06 01:37,1987.43,2023.11.06 02:59,1991.53,41,0,0,3065,3065,400,400pips_buy_5,40
21691,BUY,GOLD,0.05,2023.11.06 01:37,1987.43,2023.11.06 03:30,1992.51,50.8,0,0,3800,3800,500,500pips_buy_5,50
21723,SELL,GOLD,0.02,2023.11.06 01:42,1988.49,2023.11.06 04:43,1989.78,-12.9,0,0,-386,-386,300,300pips_sell_2,30
21724,BUY,GOLD,0.01,2023.11.06 01:42,1988.94,2023.11.06 02:12,1988.95,0.1,0,0,1,1,100,100pips_buy_1,10
21833,BUY,GOLD,0.02,2023.11.06 02:00,1987.92,2023.11.06 02:12,1988.95,10.3,0,0,308,308,100,100pips_buy_2,10
21853,SELL,GOLD,0.01,2023.11.06 02:01,1986.87,2023.11.06 04:53,1988.14,-12.7,0,0,-190,-190,400,400pips_sell_1,40
21902,SELL,GOLD,0.02,2023.11.06 02:06,1987.89,2023.11.06 04:53,1988.14,-2.5,0,0,-75,-75,400,400pips_sell_2,40
